public	office	attribute_1
wall	street	instance_of_1
pin	curl	instance_of_1
living	arrangement	topic
wind	bell	means
gill	slit	part_of_2
mineral	oil	source_1
low	spirits	non-compositional
crystalline	lens	attribute_1
parliamentary	democracy	instance_of_1
george	town	instance_of_1
garrison	cap	instance_of_1
false	labor	attribute_1
mother	superior	instance_of_1
flare	star	source_2
religious	residence	purpose
group	practice	means
tent	flap	purpose
auction	pitch	non-compositional
ethnic	group	attribute_1
cyclic	disorder	attribute_1
tonic	key	instance_of_1
gum	ridge	part_of_1
celestial	latitude	part_of_1
world	cup	non-compositional
telephone	system	purpose
dish	washer	purpose
china	clay	purpose
tuscan	order	instance_of_1
shamrock	pea	instance_of_1
grind	organ	means
control	stick	purpose
simple	sentence	attribute_1
power	user	instance_of_1
soul	kiss	instance_of_1
butter	knife	purpose
final	result	attribute_1
regression	curve	attribute_2
milk	can	part_of_1
sales	talk	purpose
rice	grass	attribute_1
metric	function	means
dental	medicine	attribute_2
lutheran	church	source_1
psychic	communication	means
trash	bin	part_of_2
greek	capital	part_of_1
rubber	bullet	part_of_2
butterfly	fish	attribute_1
sieve	tube	purpose
water	closet	non-compositional
top	side	attribute_1
false	mistletoe	attribute_1
exchange	premium	purpose
polish	notation	source_1
gay	woman	attribute_1
travel	agent	topic
paper	currency	part_of_2
radio	brightness	attribute_2
band	saw	part_of_2
equivalent	word	attribute_1
defense	system	purpose
complex	number	instance_of_1
induction	coil	purpose
rush	family	owner
air	space	part_of_2
predictor	variable	instance_of_1
direct	mailer	attribute_1
tracked	vehicle	means
city	limits	attribute_2
radius	vector	source_1
passion	fruit	instance_of_1
pay	claim	topic
high	jump	non-compositional
panic	button	purpose
boat	train	instance_of_1
record	cover	purpose
bellows	fish	instance_of_1
cork	tree	instance_of_1
rum	cherry	instance_of_1
point	duty	instance_of_1
sex	drive	topic
junior	middleweight	instance_of_1
indian	python	source_1
shore	leave	instance_of_1
vertical	fin	attribute_1
declarative	sentence	attribute_1
witch	grass	instance_of_1
film	director	purpose
word	class	attribute_2
mind	reader	purpose
optical	lens	attribute_1
looking	glass	purpose
ticket	agent	source_2
blue	catfish	attribute_1
evaporated	milk	attribute_1
crown	gall	instance_of_1
coding	system	purpose
resultant	role	instance_of_1
middle	finger	part_of_1
natural	fiber	attribute_1
silver	ash	attribute_1
ear	lobe	part_of_1
pos	tagger	source_2
space	age	instance_of_1
prayer	service	purpose
craft	fair	purpose
differential	gear	instance_of_1
angle	iron	attribute_1
rough	rider	non-compositional
launch	area	purpose
fighter	pilot	purpose
binder	board	purpose
ax	head	part_of_1
uneven	bars	attribute_1
job	lot	non-compositional
playing	field	non-compositional
natural	immunity	source_1
gang	fight	part_of_2
landing	approach	purpose
garden	party	part_of_1
differential	calculus	attribute_1
honorable	discharge	attribute_1
stripper	well	instance_of_1
bed	cover	purpose
business	department	purpose
suspension	bridge	means
volute	spring	attribute_1
charter	member	owner
church	property	owner
butcher	shop	owner
complementary	distribution	attribute_1
golden	section	instance_of_1
christian	name	instance_of_1
logical	proof	source_1
cold	wave	attribute_1
printing	press	purpose
punctuated	equilibrium	attribute_1
squash	racket	purpose
journal	bearing	part_of_1
gothic	romance	attribute_1
velvet	bent	instance_of_1
candle	holder	purpose
wild	peach	instance_of_1
good	person	attribute_1
common	wart	attribute_1
traffic	pattern	topic
foreign	policy	topic
balanced	diet	attribute_1
ethnic	slur	attribute_1
reviewing	stand	purpose
credit	application	topic
gross	anatomy	instance_of_1
vacuum	aspiration	non-compositional
dry	point	non-compositional
lesser	wintergreen	instance_of_1
tide	rip	source_1
game	show	part_of_2
loose	smut	instance_of_1
young	man	attribute_1
roundabout	way	attribute_1
torch	song	instance_of_1
adhesion	contract	instance_of_1
english	plantain	instance_of_1
test	case	instance_of_1
basil	mint	instance_of_1
car	park	purpose
honey	locust	instance_of_1
property	right	topic
clutch	bag	means
fish	filet	source_1
control	surface	purpose
trade	protection	purpose
hardware	store	source_2
light	heavyweight	instance_of_1
gray	sole	attribute_1
honey	bell	non-compositional
bully	beef	instance_of_1
field	crop	purpose
death	benefit	attribute_2
taper	file	instance_of_1
wing	screw	attribute_1
chinook	salmon	instance_of_1
illiterate	person	attribute_1
native	land	owner
travel	allowance	purpose
liquor	license	purpose
covering	letter	purpose
call	box	purpose
double	bass	instance_of_1
disc	brake	means
sex	appeal	topic
full	gainer	non-compositional
olympian	games	instance_of_1
squad	car	owner
crepe	paper	attribute_1
shipping	company	source_2
pedal	extremity	part_of_1
chicken	scratch	non-compositional
beta	particle	instance_of_1
palm	kernel	source_1
running	shoe	purpose
battle	fatigue	source_1
black	fly	attribute_1
sporting	chance	instance_of_1
gambling	house	purpose
storage	tank	purpose
grass	roots	non-compositional
forced	sale	attribute_1
ring	mail	non-compositional
acrylic	paint	attribute_1
wolf	bean	instance_of_1
arm	pad	purpose
fatigue	duty	instance_of_1
unknown	region	attribute_1
manicure	set	purpose
hebrew	calendar	purpose
defense	policy	purpose
patent	office	purpose
spurious	correlation	attribute_1
liberty	bell	instance_of_1
food	court	purpose
access	code	purpose
floral	arrangement	means
cowl	muscle	instance_of_1
black	tie	attribute_1
rough	cut	attribute_1
black	death	non-compositional
mental	picture	attribute_1
breathing	spell	non-compositional
telephone	receiver	purpose
battle	dress	purpose
rock	plant	part_of_1
crepe	rubber	instance_of_1
recent	epoch	attribute_1
prime	quantity	attribute_1
dirty	trick	attribute_1
packing	case	purpose
major	scale	instance_of_1
feeding	bottle	purpose
cool	jazz	attribute_1
blue	runner	attribute_1
saddle	oxford	attribute_1
sage	hen	instance_of_1
sex	activity	purpose
scavenger	cell	purpose
rounding	error	source_1
row	house	part_of_1
local	call	attribute_1
service	break	non-compositional
mormon	church	instance_of_1
horse	chestnut	instance_of_1
military	drill	purpose
high	court	instance_of_1
occupation	licence	purpose
salmon	oil	source_1
