forestry	company	PERFORM&ENGAGE_IN
draft	statement	EQUATIVE
shareholder	consent	SUBJECT
engineering	work	PERFORM&ENGAGE_IN
visa	restriction	OBJECTIVE
test	flight	EQUATIVE
credit	demand	OBJECTIVE
pop	concert	OTHER
staff reduction	saving	CREATOR-PROVIDER-CAUSE_OF
marble	floor	SUBSTANCE-MATERIAL-INGREDIENT
world	organization	LOCATION
benzethonium	chloride	SUBSTANCE-MATERIAL-INGREDIENT
discrimination	suit	OTHER
staff	reporter	WHOLE+PART_OR_MEMBER_OF
industry	department	PERFORM&ENGAGE_IN
year	passage	MEASURE
growth	acceleration	OBJECTIVE
church	accountant	EMPLOYER
loan	book	TOPIC
summer	crop	TIME-OF1
storage	device	PERFORM&ENGAGE_IN
tuition	reimbursement	OBJECTIVE
price	gap	OTHER
holiday	tradition	TIME-OF1
bag	user	OBJECTIVE
opposition	candidate	WHOLE+PART_OR_MEMBER_OF
management	office	PERFORM&ENGAGE_IN
occupancy	guarantee	OBJECTIVE
auction	result	CREATOR-PROVIDER-CAUSE_OF
gold	medalist	OTHER
trade	secret	LEXICALIZED
diesel	car	MEANS
product	management	OBJECTIVE
custom	barrier	EQUATIVE
compensation	case	OTHER
theater	manager	OBJECTIVE
union	headquarters	OWNER-USER
house	manager	OBJECTIVE
travel	service	PERFORM&ENGAGE_IN
association	meeting	SUBJECT
year	sentence	MEASURE
travel	sale	OBJECTIVE
defense	issue	TOPIC
farm	tool	LOCATION
information	processing	OBJECTIVE
rally	organizer	OBJECTIVE
service	worker	PERFORM&ENGAGE_IN
traffic	official	ORGANIZE&SUPERVISE&AUTHORITY
skeleton	staff	PARTIAL_ATTRIBUTE_TRANSFER
building	work	PERFORM&ENGAGE_IN
board	meeting	SUBJECT
artillery	destruction	SUBJECT
media	speculation	SUBJECT
mile	west	MEASURE
year	mortgage	MEASURE
weapons	system	PURPOSE
health	inspector	OBJECTIVE
narcotic	trafficker	OBJECTIVE
immigrant	parent	EQUATIVE
delivery	man	PERFORM&ENGAGE_IN
railroad	crossing	OTHER
army	general	EMPLOYER
summer	festival	TIME-OF1
interest	payment	OBJECTIVE
insurance	department	PERFORM&ENGAGE_IN
sector	project	LOCATION
service	officer	ORGANIZE&SUPERVISE&AUTHORITY
security	precaution	CREATE-PROVIDE-GENERATE-SELL
mainstream	group	ADJ-LIKE_NOUN
industry	problem	OTHER
reform	stance	TOPIC
communication	company	PERFORM&ENGAGE_IN
injury	lawsuit	OTHER
page	view	OBJECTIVE
cancellation	penalty	JUSTIFICATION
door	lock	LOCATION
government	activity	SUBJECT
clothing	company	CREATE-PROVIDE-GENERATE-SELL
pricing	detail	TOPIC
fuel	tax	OBJECTIVE
state	hearing	SUBJECT
molestation	case	OTHER
aluminum	price	RELATIONAL-NOUN-COMPLEMENT
month	battle	MEASURE
partner	satisfaction	EXPERIENCER-OF-EXPERIENCE
freight	transportation	OBJECTIVE
ozone	satellite	PURPOSE
multimedia	presentation	MEANS
takeover	code	TOPIC
signatory	state	EQUATIVE
price	stability	RELATIONAL-NOUN-COMPLEMENT
mass	protest	ADJ-LIKE_NOUN
leadership	team	PERFORM&ENGAGE_IN
voting	result	CREATOR-PROVIDER-CAUSE_OF
shareholder	fund	OWNER-USER
turtle	dove	LEXICALIZED
hour	minutes	MEASURE
ownership	rights	OTHER
pension	scheme	OTHER
severance	payment	JUSTIFICATION
newsprint	producer	OBJECTIVE
health	problem	OTHER
mass	campaign	ADJ-LIKE_NOUN
polyethylene	resin	SUBSTANCE-MATERIAL-INGREDIENT
budget	gimmickry	MEANS
asset	sale	OBJECTIVE
motorcade	route	USER_RECIPIENT
service	industry	PERFORM&ENGAGE_IN
government	supervision	SUBJECT
day	limit	MEASURE
highway	sign	LOCATION
enforcement	program	PERFORM&ENGAGE_IN
stalling	tactic	PERFORM&ENGAGE_IN
mushroom	lamp	PARTIAL_ATTRIBUTE_TRANSFER
shipyard	worker	LOCATION
group	conflict	OTHER
housing	lobby	EMPLOYER
budget	cycle	RELATIONAL-NOUN-COMPLEMENT
listing	agent	PERFORM&ENGAGE_IN
flight	time	TIME-OF2
water	control	OBJECTIVE
crop	production	OBJECTIVE
youth	conservation	OBJECTIVE
resource	center	PERFORM&ENGAGE_IN
trading	arm	PERFORM&ENGAGE_IN
state	money	OWNER-USER
work	arrangement	TOPIC
insurance	division	PERFORM&ENGAGE_IN
album	cover	WHOLE+PART_OR_MEMBER_OF
consumer	product	USER_RECIPIENT
condominium	project	CREATE-PROVIDE-GENERATE-SELL
identification	paper	PERFORM&ENGAGE_IN
price	comparison	OBJECTIVE
discount	promotion	MEANS
administration	request	SUBJECT
athletics	competition	EQUATIVE
security	aspect	EQUATIVE
control	procedure	PERFORM&ENGAGE_IN
transportation	concern	OTHER
telecommunication	stock	RELATIONAL-NOUN-COMPLEMENT
return	guarantee	OBJECTIVE
research	team	PERFORM&ENGAGE_IN
velvet	jean	SUBSTANCE-MATERIAL-INGREDIENT
training	flight	PERFORM&ENGAGE_IN
slam	dunk	OTHER
repair	facility	PERFORM&ENGAGE_IN
land	grab	OBJECTIVE
tourism	market	PURPOSE
plant	lover	OBJECTIVE
gym	teacher	OBJECTIVE
department	source	EMPLOYER
tax	legislation	TOPIC
government	investigator	EMPLOYER
asset	company	ORGANIZE&SUPERVISE&AUTHORITY
travel	cost	RELATIONAL-NOUN-COMPLEMENT
technology	center	CREATE-PROVIDE-GENERATE-SELL
chocolate	expertise	TOPIC_OF_EXPERT
market	turmoil	LOCATION
fish	export	OBJECTIVE
elevator	shaft	USER_RECIPIENT
military	spokesman	EMPLOYER
steel	sheet	SUBSTANCE-MATERIAL-INGREDIENT
key	member	ADJ-LIKE_NOUN
pit	crew	LOCATION
dormitory	meeting	LOCATION
search	operation	PERFORM&ENGAGE_IN
profit	growth	OBJECTIVE
sports	fan	RELATIONAL-NOUN-COMPLEMENT
government	sale	SUBJECT
selection	procedure	PERFORM&ENGAGE_IN
telecommunication	facility	PERFORM&ENGAGE_IN
invalidity	benefit	JUSTIFICATION
practice	charge	EQUATIVE
marketing	expense	CREATOR-PROVIDER-CAUSE_OF
street	performer	LOCATION
family	photograph	TOPIC
detection	device	PERFORM&ENGAGE_IN
border	zone	LOCATION
squad	leader	OBJECTIVE
day	fare	MEASURE
third-quarter	profit	TIME-OF1
playoff	picture	RELATIONAL-NOUN-COMPLEMENT
liability	claim	OBJECTIVE
testing	service	EQUATIVE
manufacturing	firm	PERFORM&ENGAGE_IN
border	talk	TOPIC
trash	landfill	CONTAIN
satellite	program	MEANS
corruption	case	OTHER
water	regulator	OBJECTIVE
union	family	WHOLE+PART_OR_MEMBER_OF
television	picture	LOCATION
operating	efficiency	RELATIONAL-NOUN-COMPLEMENT
corn	export	OBJECTIVE
city	commission	ORGANIZE&SUPERVISE&AUTHORITY
job	reduction	OBJECTIVE
skin	side	LOCATION
scar	tissue	SUBSTANCE-MATERIAL-INGREDIENT
design	department	PERFORM&ENGAGE_IN
trivia	column	TOPIC
lunch	meeting	TIME-OF1
fall	schedule	TIME-OF1
job	site	CONTAIN
world	community	LOCATION
protection	system	PERFORM&ENGAGE_IN
police	superintendent	EMPLOYER
plant	operator	OBJECTIVE
gas	concern	TOPIC_OF_COGNITION&EMOTION
lung	capacity	RELATIONAL-NOUN-COMPLEMENT
valley	floor	WHOLE+PART_OR_MEMBER_OF
weapon	poisoning	OBJECTIVE
risk	manager	OBJECTIVE
steel	concern	OTHER
job	stability	RELATIONAL-NOUN-COMPLEMENT
reality	check	OBJECTIVE
unification	fight	TOPIC
dealer	showroom	OWNER-USER
job	rights	RELATIONAL-NOUN-COMPLEMENT
enlargement	negotiation	OBJECTIVE
zoning	code	TOPIC
vegetable	platter	CONTAIN
pace	car	PERFORM&ENGAGE_IN
ozone	creation	OBJECTIVE
aviation	safety	RELATIONAL-NOUN-COMPLEMENT
protection	work	PERFORM&ENGAGE_IN
study	participant	OTHER
tourist	trap	OBTAIN&ACCESS&SEEK
minute	program	MEASURE
waterfront	highway	LOCATION
college	saver	OBTAIN&ACCESS&SEEK
chainsaw	crew	MEANS
pay	policy	TOPIC
Mr.	O'Brien	PERSONAL_TITLE
system	failure	OBJECTIVE
water	restriction	OBJECTIVE
specialty	market	PURPOSE
copying	machine	PERFORM&ENGAGE_IN
medication	error	OTHER
racketeering	charge	EQUATIVE
loophole	suggestion	TOPIC
outfield	wall	LOCATION
drug	therapy	MEANS
chat	group	PERFORM&ENGAGE_IN
deputy	coroner	EQUATIVE
procurement	system	PERFORM&ENGAGE_IN
injury	update	TOPIC
bureau	spokesman	EMPLOYER
testing	center	PERFORM&ENGAGE_IN
division	match	PERFORM&ENGAGE_IN
entertainment	service	CREATE-PROVIDE-GENERATE-SELL
tax	bite	LEXICALIZED
plant	design	OBJECTIVE
cigarette	company	CREATE-PROVIDE-GENERATE-SELL
screen	time	TIME-OF2
child	poisoning	OBJECTIVE
prison	riot	LOCATION
testing	system	PERFORM&ENGAGE_IN
acre	parcel	MEASURE
newspaper	account	SUBJECT
point	average	MEASURE
exercise	machine	PERFORM&ENGAGE_IN
Colonel	Samson	PERSONAL_TITLE
wine	export	OBJECTIVE
crack	addict	OTHER
tourism	ministry	ORGANIZE&SUPERVISE&AUTHORITY
music	fan	RELATIONAL-NOUN-COMPLEMENT
disaster	center	MITIGATE&OPPOSE
family	portrait	RELATIONAL-NOUN-COMPLEMENT
design	operation	PERFORM&ENGAGE_IN
operation	room	PERFORM&ENGAGE_IN
core	malefactor	ADJ-LIKE_NOUN
cooperation	system	PERFORM&ENGAGE_IN
employer	cost	OBJECTIVE
rocket	program	CREATE-PROVIDE-GENERATE-SELL
contract	killing	OTHER
pollution	level	AMOUNT-OF
debt	relief	MITIGATE&OPPOSE
home	market	PURPOSE
sport	league	PERFORM&ENGAGE_IN
treatment	plan	OBJECTIVE
security	procedure	CREATE-PROVIDE-GENERATE-SELL
cigarette	smoking	OBJECTIVE
weapon	factory	CREATE-PROVIDE-GENERATE-SELL
securities	broker	OBJECTIVE
point	range	MEASURE
furniture	design	OBJECTIVE
shooting	attack	MEANS
rice	crop	EQUATIVE
steel	sector	CREATE-PROVIDE-GENERATE-SELL
training	class	TOPIC
performance	figure	TOPIC
clothing	shop	CREATE-PROVIDE-GENERATE-SELL
waxwork	demon	EQUATIVE
chief	mediator	ADJ-LIKE_NOUN
youth	rally	SUBJECT
softball	player	OBJECTIVE
tourist	town	USER_RECIPIENT
home	game	LOCATION
concept	modification	OBJECTIVE
corn	kernel	WHOLE+PART_OR_MEMBER_OF
glass	bottle	SUBSTANCE-MATERIAL-INGREDIENT
traffic	pattern	RELATIONAL-NOUN-COMPLEMENT
alcohol	damage	SUBJECT
duty	rate	RELATIONAL-NOUN-COMPLEMENT
steel	can	SUBSTANCE-MATERIAL-INGREDIENT
advertising	client	PERFORM&ENGAGE_IN
renovation	work	PERFORM&ENGAGE_IN
team	history	RELATIONAL-NOUN-COMPLEMENT
month	earnings	MEASURE
shower	head	WHOLE+PART_OR_MEMBER_OF
bulldog	bite	SUBJECT
fashion	world	EQUATIVE
point	proposal	MEASURE
christian	site	USER_RECIPIENT
shuttle	launch	OBJECTIVE
peace	effort	PERFORM&ENGAGE_IN
tourist	office	USER_RECIPIENT
government	employee	EMPLOYER
debt	agreement	TOPIC
hardware	maker	OBJECTIVE
week	trial	MEASURE
campaign	account	OWNER-USER
serving	platter	PERFORM&ENGAGE_IN
aviation	system	PERFORM&ENGAGE_IN
component	maker	OBJECTIVE
fishing	area	PERFORM&ENGAGE_IN
panel	member	WHOLE+PART_OR_MEMBER_OF
investigation	department	PERFORM&ENGAGE_IN
passenger	capacity	PURPOSE
Saint	James	PERSONAL_TITLE
exchange	spokesman	EMPLOYER
oversight	subcommittee	PERFORM&ENGAGE_IN
light	bulb	CREATE-PROVIDE-GENERATE-SELL
food	worker	OTHER
healthcare	company	CREATE-PROVIDE-GENERATE-SELL
tax	inspector	OBJECTIVE
mother	lode	LEXICALIZED
spring	planting	TIME-OF1
death	certificate	OBJECTIVE
defense	complex	PERFORM&ENGAGE_IN
government	help	SUBJECT
state	body	EMPLOYER
television	program	MEANS
supply	system	PURPOSE
back	page	LOCATION
science	book	TOPIC
escape	attempt	PERFORM&ENGAGE_IN
health	director	OBJECTIVE
wrist	injury	LOCATION
canal	treaty	TOPIC
impact	assessment	OBJECTIVE
toilet	paper	LOCATION
fraud	suit	OTHER
pay	increase	OBJECTIVE
shoulder	problem	OTHER
service	disruption	OBJECTIVE
shipyard	service	LOCATION
bullion	price	RELATIONAL-NOUN-COMPLEMENT
surveillance	technology	PERFORM&ENGAGE_IN
weapon	crisis	OTHER
catalog	operation	CREATE-PROVIDE-GENERATE-SELL
draft	accord	EQUATIVE
testing	process	EQUATIVE
foot	mountain	MEASURE
transport	spokesman	EMPLOYER
machinery	maker	OBJECTIVE
intelligence	work	OTHER
defense	planning	OBJECTIVE
capital gains	rate	RELATIONAL-NOUN-COMPLEMENT
equipment	purchase	OBJECTIVE
valet	parking	SUBJECT
catalog	sale	OBJECTIVE
alcohol	testing	OBJECTIVE
hurricane	warning	TOPIC
safety	fair	RELATIONAL-NOUN-COMPLEMENT
herbicide	use	OBJECTIVE
helicopter	crash	OBJECTIVE
mission	statement	TOPIC
dialogue	committee	PERFORM&ENGAGE_IN
government	receipt	USER_RECIPIENT
year	probe	MEASURE
defence	spokesman	EMPLOYER
junta	leader	OBJECTIVE
sampling	error	OTHER
network	computer	WHOLE+PART_OR_MEMBER_OF
party	elite	WHOLE+PART_OR_MEMBER_OF
food	grill	PURPOSE
agriculture	official	ORGANIZE&SUPERVISE&AUTHORITY
coal	terminal	PURPOSE
creditor	country	EQUATIVE
gold	reserve	SUBSTANCE-MATERIAL-INGREDIENT
backup	center	PERFORM&ENGAGE_IN
defence	group	PERFORM&ENGAGE_IN
core	shooting	ADJ-LIKE_NOUN
foot	wall	MEASURE
asbestos	claim	OBJECTIVE
miner	strike	SUBJECT
franchise	owner	OBJECTIVE
status	talk	TOPIC
defense	chief	RELATIONAL-NOUN-COMPLEMENT
home	furnishing	LOCATION
time	change	OBJECTIVE
police	sympathizer	OTHER
aircraft	fleet	PART&MEMBER_OF_COLLECTION&CONFIG&SERIES
associate	administrator	EQUATIVE
court	officer	EMPLOYER
shareholder	pressure	SUBJECT
budget	act	TOPIC
buyout	effort	PERFORM&ENGAGE_IN
security	advisor	TOPIC
water	resource	EQUATIVE
point	shooting	MEASURE
tourism	boycott	OBJECTIVE
gutter	language	LEXICALIZED
paper	document	SUBSTANCE-MATERIAL-INGREDIENT
division	leader	OBJECTIVE
physician	service	SUBJECT
block	grant	PARTIAL_ATTRIBUTE_TRANSFER
computer	analysis	MEANS
information	equipment	PERFORM&ENGAGE_IN
coffee shop	chatter	LOCATION
coca	plant	CREATE-PROVIDE-GENERATE-SELL
business	issue	TOPIC
jazz	concert	OTHER
coin	dealer	OBJECTIVE
insurance	stock	RELATIONAL-NOUN-COMPLEMENT
chief	environmentalist	ADJ-LIKE_NOUN
chief	nominee	ADJ-LIKE_NOUN
paint	thinner	OBJECTIVE
replacement	therapy	MEANS
crab	cake	SUBSTANCE-MATERIAL-INGREDIENT
water	skiing	LOCATION
copper	producer	OBJECTIVE
rate	structure	PART&MEMBER_OF_COLLECTION&CONFIG&SERIES
baseball	career	PERFORM&ENGAGE_IN
industry	conference	SUBJECT
radiation	exposure	OTHER
program	director	OBJECTIVE
